4 Non Blondes;What's Up
One Direction;What Makes You Beautiful
OneRepublic;Counting Stars
Ozuna x Romeo Santos;El Farsante
P!nk ft. Nate Ruess;Just Give Me A Reason
Passenger;Let Her Go
Perfect;Ed Sheeran
Pharrell Williams;Happy
Pinkfong;Baby Shark Dance
Pitbull ft. Chris Brown;International Love
Pitbull ft. Jennifer Lopez & Claudia Leitte;We Are One (Ole Ola)
Pitbull ft. Ke$ha;Timber
Pitbull ft. Marc Anthony;Rain Over Me
Pitbull;Give Me Everything
Post Malone ft. Quavo;Congratulations
Post Malone ft. Ty Dolla $ign;Psycho
Post Malone, Swae Lee;Sunflower (Spider-Man: Into the Spider-Verse)
Post Malone;rockstar ft. 21 Savage
Post Malone;White Iverson
Psy;Gangnam style
Psy;Gentleman
Queen;Bohemian Rhapsody
R. City ft. Adam Levine;Locked Away
R.E.M.;Losing My Religion
Rae Sremmurd ft. Gucci Mane;Black Beatles
Rae Sremmurd;No Type
Rag'n'Bone Man;Human
Raymix;Oye Mujer
Red Hot Chili Peppers;Californication
Rick Astley;Never Gonna Give You Up
Ricky Martin ft. Yotuel;La Mordidita
Rihanna ft. Drake;What's My Name?
Rihanna ft. Drake;Work
Rihanna ft. Mikky Ekko;Stay
Rihanna;Diamonds
Rihanna;Man Down
Rihanna;Only Girl
Robin Thicke ft. T.I., Pharrell;Blurred Lines
Sam Smith;I'm Not The Only One
Sam Smith;Stay With Me
Sam Smith;Too Good At Goodbyes
Scorpions;Wind Of Change
Sean Paul ft. Dua Lipa;No Lie
Selena Gomez;Come & Get It
Selena Gomez;The Heart Wants What It Wants
Shakira ft. Carlinhos Brown;La La La (Brazil 2014)
Shakira ft. Rihanna;Can't Remember to Forget You
Shakira ft. Wyclef Jean;Hips Don't Lie
Shakira;Try Everything (From "Zootopia")
Shakira;Waka Waka (This Time for Africa)
Shawn Mendes, Camila Cabello;Señorita
Shawn Mendes;Stitches
Shawn Mendes;There's Nothing Holdin' Me Back
Shawn Mendes;Treat You Better
Sia feat. Shia LaBeouf & Maddie Ziegler;Elastic Heart
Sia ft. Sean Paul;Cheap Thrills
Sia;Chandelier
Sia;The Greatest
Silentó;Watch Me (Whip/Nae Nae)
Skrillex and Diplo ft. Justin Bieber;Where Are Ü Now
Skrillex feat. Sirah;Bangarang
Swedish House Mafia ft. John Martin;Don't You Worry Child
System Of A Down;Chop Suey!
Taylor Swift ft. Kendrick Lamar;Bad Blood
Taylor Swift;Blank Space
Taylor Swift;Look What You Made Me Do
Taylor Swift;Shake It Off
Taylor Swift;Style
Taylor Swift;We Are Never Ever Getting Back Together
Taylor Swift;Wildest Dreams
Taylor Swift;You Belong With Me
The Chainsmokers & Coldplay;Something Just Like This
The Chainsmokers ft. Daya;Don't Let Me Down
The Chainsmokers ft. Halsey;Closer
The Chipettes;Single Ladies
The Cranberries;Zombie
The Police;Every Breath You Take
The Weeknd ft. Daft Punk;I Feel It Coming
The Weeknd ft. Daft Punk;Starboy
The Weeknd;Can't Feel My Face
The Weeknd;The Hills
Tove Lo;Habits (Stay High)
twenty one pilots; Heathens
twenty one pilots;Ride
twenty one pilots;Stressed Out
Tyga ft. Offset;Taste
Whitney Houston;I Will Always Love You
will.i.am ft. Britney Spears;Scream & Shout
Wiz Khalifa ft. Charlie Puth;See You Again
Xxxtentacion;Changes
Xxxtentacion;Sad!
Ylvis;The Fox (What Does The Fox Say?)
Zara Larsson;Lush Life
Zayn ft. Sia;Dusk Till Dawn
Zayn;Pillowtalk
Zion & Lennox ft. J Balvin;Otra Vez
